url,repo_name,watchers,stars,forks,commits,branches,releases,contributors,,
https://github.com/avast/android-butterknife-zelezny,android-butterknife-zelezny,145,3200,404,84,1,8,,,
https://github.com/avast/android-styled-dialogs,android-styled-dialogs,133,2145,487,272,4,14,19,,
https://github.com/aws/aws-sdk-java,aws-sdk-java,287,2334,1747,1,383,22,468,,
https://github.com/azkaban/azkaban,azkaban,198,1611,777,2,36,9,73,,
https://github.com/b3log/solo,solo,417,3857,1655,2,21,2,14,,
https://github.com/b3log/symphony,symphony,255,2432,799,5,347,2,14,,
https://github.com/balsikandar/Android-Studio-Plugins,Android-Studio-Plugins,95,1798,153,32,1,0,1,,
https://github.com/balysv/material-menu,material-menu,119,2391,542,118,1,20,,,
https://github.com/balysv/material-ripple,material-ripple,79,2017,445,66,1,4,5,,
https://github.com/baoyachi/StepView,StepView,93,3023,655,106,2,13,3,,
https://github.com/baoyongzhang/android-PullRefreshLayout,android-PullRefreshLayout,80,1851,521,59,2,0,2,,
https://github.com/baoyongzhang/SwipeMenuListView,SwipeMenuListView,182,3217,1305,64,4,2,6,,
https://github.com/BaronZ88/MinimalistWeather,MinimalistWeather,80,1527,405,119,1,0,1,,
https://github.com/barteksc/AndroidPdfViewer,AndroidPdfViewer,115,2947,634,78,1,28,7,,
https://github.com/bauerca/drag-sort-listview,drag-sort-listview,318,3174,1590,165,5,2,8,,
https://github.com/bazelbuild/bazel,bazel,470,8173,1252,14,526,3,32,,
https://github.com/Bearded-Hen/Android-Bootstrap,Android-Bootstrap,403,6483,1442,338,3,5,24,,
https://github.com/BelooS/ChipsLayoutManager,ChipsLayoutManager,46,2150,225,496,6,12,,,
https://github.com/ben-manes/caffeine,caffeine,254,3644,318,1,16,4,37,,
https://github.com/beworker/pinned-section-listview,pinned-section-listview,173,2547,880,88,1,6,11,,
https://github.com/bigbluebutton/bigbluebutton,bigbluebutton,281,1979,3493,20,176,19,22,,
https://github.com/Bigkoo/Android-PickerView,Android-PickerView,238,6511,1795,386,6,0,12,,
https://github.com/Bilibili/boxing,boxing,60,2307,278,95,3,2,2,,
https://github.com/Bilibili/DanmakuFlameMaster,DanmakuFlameMaster,380,6438,1679,1,121,7,69,,
https://github.com/Bilibili/MagicaSakura,MagicaSakura,96,2527,360,55,1,2,7,,
https://github.com/bingoogolapple/BGABadgeView-Android,BGABadgeView-Android,64,1933,377,73,2,16,1,,
https://github.com/bingoogolapple/BGABanner-Android,BGABanner-Android,96,2379,569,129,3,26,2,,
https://github.com/bingoogolapple/BGARefreshLayout-Android,BGARefreshLayout-Android,157,3477,953,170,2,18,2,,
https://github.com/binIoter/GuideView,GuideView,74,2275,440,28,1,0,1,,
https://github.com/bisq-network/exchange,exchange,220,2076,511,5,178,1,48,,
https://github.com/bitcoinj/bitcoinj,bitcoinj,271,1998,1316,2,936,13,27,,
https://github.com/Blankj/AndroidUtilCode,AndroidUtilCode,876,16184,5267,701,1,42,16,,
https://github.com/Blankj/awesome-java-leetcode,awesome-java-leetcode,172,3227,517,126,1,0,1,,
