watchers,stars,forks,commits,branches,releases,contributors,Python,NormWatchers,NormStars,NormForks,NormCommits,NormBranches,NormReleases,NormContributors,Popularity
260,5836,943,602,2,17,71,1,-0.07607861468,0.345945924,-0.09204784894,1.726381666,-0.5365636377,0.05978562363,0.3894533363,0.05927315346
175,4818,865,3,206,9,109,1,-0.3229168163,0.1104295721,-0.1452133233,-0.7610485879,0.2698298592,-0.1625722399,0.8772819346,-0.1192335225
386,3557,1050,36,2,0,13,1,0.2898227194,-0.1813053195,-0.0191157239,-0.6240115288,-0.5365636377,-0.4127248364,-0.3551271558,0.02980055867
148,3584,216,1,697,4,23,1,-0.401324245,-0.1750588151,-0.5875773341,-0.7693538642,2.210708325,-0.3015459046,-0.2267512089,-0.3879867981
308,3213,1336,5,169,10,27,1,0.06331236974,-0.2608904129,0.1758243487,-0.7527433116,0.1235722151,-0.134777507,-0.1754008301,-0.007251231501
311,5985,1544,1,43,5,16,1,0.07202430627,0.3804173743,0.3175989469,-0.7693538642,-0.3744943565,-0.2737511717,-0.3166143717,0.2566802092
140,2902,306,292,1,0,15,1,-0.4245560757,-0.3328408898,-0.526232556,0.4390638385,-0.540516547,-0.4127248364,-0.3294519664,-0.4278765072
141,4806,398,793,5,20,144,1,-0.4216520969,0.1076533479,-0.4635245606,2.519535553,-0.5247049098,0.1431698225,1.326597749,-0.2591744365
185,4298,310,196,1,11,7,1,-0.2938770278,-0.009873475979,-0.5235061214,0.04041057572,-0.540516547,-0.106982774,-0.4321527239,-0.2757522084
193,2848,631,13,183,18,125,1,-0.2706451971,-0.3453338986,-0.3047097463,-0.7195222064,0.1789129453,0.08758035658,1.08268345,-0.3068962807
254,2897,551,1,686,1,0,1,-0.09350248774,-0.3339976498,-0.3592384379,-0.7693538642,2.167226322,-0.3849301035,-0.5220158868,-0.2622461918
199,2487,518,79,2,0,,1,-0.2532213241,-0.4288519762,-0.3817315232,-0.4454480882,-0.5365636377,-0.4127248364,-0.5220158868,-0.3546016078
263,5305,1160,545,4,8,37,1,-0.06736667816,0.2230980037,0.05586122708,1.489681291,-0.5286578191,-0.1903669729,-0.04702488318,0.07053085089
186,4685,545,22,1,0,3,1,-0.290973049,0.07965975406,-0.3633280898,-0.682148463,-0.540516547,-0.4127248364,-0.4835031027,-0.1915471282
119,3099,264,5,537,1,11,1,-0.4855396314,-0.2872645427,-0.5548601191,-0.7527433116,1.578242837,-0.3849301035,-0.3808023452,-0.4425547644
300,3345,1426,536,3,0,28,1,0.04008053901,-0.2303519468,0.2371691267,1.452307548,-0.5326107284,-0.4127248364,-0.1625632354,0.01563257296
162,4043,394,242,1,21,21,1,-0.3606685412,-0.06886823996,-0.4662509952,0.2314319308,-0.540516547,0.1709645554,-0.2524263983,-0.2985959255
184,5308,308,1,248,7,25,1,-0.2967810067,0.2237920598,-0.5248693387,-0.7693538642,0.4358520497,-0.2181617058,-0.2010760195,-0.1992860952
127,6437,290,1,776,11,47,1,-0.4623078007,0.4849884854,-0.5371382943,-0.7693538642,2.522988159,-0.106982774,0.08135106374,-0.1714858699
